word,part_of_speech,japanese,chap,memorized,error
faithful,形容詞,忠実な、信義の厚い,1,,
vase,名詞,花瓶,1,TRUE,
chat (名詞),名詞,おしゃべり,1,,
chat (動詞),自動詞,おしゃべりをする,1,,
spacious,形容詞,広々とした,1,,
realize,他動詞,はっきり理解する、悟る,1,,
presence,名詞,出席、いること,1,,
completely,副詞,完全に、すっかり,1,,
attitude,名詞,態度、気持ち,1,,
toward,前置詞,〜の方へ、〜に向かって,1,,
as usual,熟語/慣用表現,いつものように、例の通りに,1,,
elect,他動詞,投票で選ぶ,1,,
mayor,名詞,市長、行政の長,1,,
be at a loss,熟語/慣用表現,〜するのに困っている、途方に暮れている,1,,
honor,名詞,尊敬、敬意、名誉なこと,1,,
introduce,他動詞,紹介する,1,,
grab,他動詞,不意に掴む、ひっ掴む,1,,
appoint,他動詞,任命する、指名する,1,,
mile,名詞,マイル,2,,
association,名詞,協会、組織,2,,
commission,名詞,委員会、歩合給,2,,
council,名詞,議会,2,,
crowd,名詞,群衆、人ごみ、監修,2,,
faculty,名詞,(身体器官・精神の) 機能、能力,2,,
herd,名詞,群れ,2,,
cattle,名詞,畜牛、ウシ,2,,
address,他動詞,演説する、呼びかける,2,,
impress,他動詞,感銘を与える、感動させる、印象づける,2,,
footwear,名詞,履物,2,,
clothing,名詞,衣料品,2,,
merchandise,名詞,商品,2,,
machinery,名詞,機械装置、機械設備,2,,
jewelry,名詞,宝石類,2,,
kindness,名詞,親切心、優しさ,2,,
honesty,名詞,正直、誠実、率直さ,2,,
wisdom,名詞,英知、賢明、知恵、分別,2,,
poverty,名詞,貧乏、貧困、欠乏、貧弱、不足,2,,
invention,名詞,発明品,2,,
destruction,名詞,破壊、滅亡,2,,
come out,熟語/慣用表現,現れる,2,,
out of,熟語/慣用表現,because of と同じような意味,2,,
revise,他動詞,変える、見直す、改める、修正する,2,,
interest,名詞,関心、興味,2,,
strange,形容詞,奇妙な、変な、不思議な,2,,
ancient,形容詞,古代の,2,,
several,形容詞,いくつかの,2,,
remarkable,形容詞,注目すべき、驚くべき、めざましい,2,,
sensitivity,名詞,感性、感受性,2,,
a loaf of,熟語/慣用表現,bread等を数える単位,2,,
a pile of,熟語/慣用表現,wood等を数える単位,2,,
a cake of,熟語/慣用表現,soap等を数える単位,2,,
two bottles of,熟語/慣用表現,milk等を数える単位,2,,
two sheets of,熟語/慣用表現,paper等を数える単位,2,,
two spoonfuls of,熟語/慣用表現,sugar等を数える単位,2,,
a sum of,熟語/慣用表現,money等を数える単位,2,,
two handfuls of,熟語/慣用表現,sand等を数える単位,2,,
a pound of,熟語/慣用表現,butter等を数える単位,2,,
a can of,熟語/慣用表現,oil等を数える単位,2,,
a fill of,熟語/慣用表現,tobacco等を数える単位,2,,
beads of,熟語/慣用表現,sweat等を数える単位,2,,
a column of,熟語/慣用表現,smoke等を数える単位,2,,
a wisp of,熟語/慣用表現,smoke等を数える単位,2,,
a puff of,熟語/慣用表現,breath等を数える単位,2,,
a piece of,熟語/慣用表現,"news, information等を数える単位",2,,
look for 〜,熟語/慣用表現,〜を探す、〜を求める,2,,
experiment,名詞,実験,2,,
give way,熟語/慣用表現,屈する,2,,
colleague,名詞,(専門職・公職にあたる人の) 同僚、仲間,2,,
fascinate,他動詞,心を惹きつける、魅了する、とりこにする,2,,
earnings,名詞,所得、給料,2,,
sufficient,形容詞,十分な、足りる,2,,
leave (去る以外の意味),他動詞,置き忘れる、学校を卒業する,2,,
belonging,名詞,所有物、身の回り品,2,,
authority,名詞,権威、権力、権限,2,,
murder case,名詞,殺人事件,2,,
valuables,名詞,貴重品,2,,
scientific,形容詞,科学的な,2,,
achievement,名詞,業績,2,,
really,副詞,実際は、本当は、実は,2,,
investigate,他動詞,(犯罪・事件などを) 調査する、捜査する,2,,
proud,形容詞,誇りとしている,3,,
bark (動詞),自動詞,吠える,3,,
bark (名詞),名詞,吠える声、鳴き声、大きな声、どなり声、銃声,3,,
would like to 〜,熟語/慣用表現,〜したい,3,,
historic,形容詞,歴史的な、歴史のある,3,,
Florence,名詞,イタリアの都市フローレンス,3,,
consider,他動詞,よく考える、熟慮する,3,,
seem,自動詞,〜のように思われる、〜らしい,3,,
brazen,形容詞,厚顔な、図々しい,3,,
leathern,形容詞,革のような,3,,
atomic,形容詞,原子の、原子力の,3,,
drunken,形容詞,酒に酔った、酔っ払った,3,,
sunken,形容詞,沈没した、海底に沈んだ、水中に没した,3,,
elder,形容詞,年上の,3,,
eldest,形容詞,一番年上の,3,,
former,形容詞,以前の、かつての、昔の,3,,
inner,形容詞,内部の、内側の、奥の,3,,
latter,形容詞,後者の、後半の、終わりに近い,3,,
lone,形容詞,ただ一人の、孤立した,3,,
mere,形容詞,ほんの、単なる,3,,
occasional,形容詞,時折の、時々の,3,,
principal,形容詞,主要な、主な、最も需要な,3,,
outer,形容詞,外側の、中心から離れている、外面的な、客観的な,3,,
sheer,形容詞,とてつもない、全くの、真の、純然たる、混ぜ物のない,3,,
sole,形容詞,唯一の、ただ一人の,3,,
utter,形容詞,完全な、まったくの、徹底的な、断固とした,3,,
utmost,形容詞,最大の、最高の,3,,
alike,形容詞,似ている、同様な,3,,
ashamed,形容詞,恥ずかしく思う、恥じている,3,,
asleep,形容詞,眠っている、永眠している,3,,
averse,形容詞,〜が (嫌いなわけでなくむしろ) 好きである,3,,
awake,形容詞,目が覚めて、眠らずに,3,,
aware,形容詞,〜に/〜であることに気づいている,3,,
bound,形容詞,縛られた、装丁された、必ず〜する、〜するはずだ、〜する義務がある,3,,
content (形容詞),形容詞,満足して、甘んじて,3,,
faint,形容詞,かすかな、ほのかな,3,,
liable,形容詞,〜しがちである、〜しやすい,3,,
subject,形容詞,〜にかかりやすい、左右される、〜の影響を受けやすい,3,,
wont,形容詞,〜し慣れた、〜するのを常とする,3,,
worth,形容詞,〜の値打ちのある、〜に値する,3,,
smallpox,名詞,天然痘,3,,
whim,名詞,気まぐれ、思いつき,3,,
certain,形容詞,確信している、確かである,3,,
a ready answer,熟語/慣用表現,即答,3,,
late (遅い以外の意味),形容詞,今は亡き、故,3,,
sight,名詞,視力、視覚,3,,
apt,形容詞,〜する傾向がある、〜しがちである,3,,
excuse (名詞),名詞,言い訳、言い逃れ、責任逃れ,3,,
responsible,形容詞,責任がある、責任を負うべき,3,,
diligent,形容詞,勤勉な、絶えず努力する,3,,
outspoken,形容詞,はっきりとものを言う、歯に衣着せぬ,3,,
introductory,形容詞,紹介の、前置きの、導入の、入門的な,3,,
population,名詞,人口,3,,
bright,形容詞,明るい、輝いている、光っている,3,,
"The+比較級, the+比較級",熟語/慣用表現,〜すればするほど〜,3,,
grow,自動詞,成長する,3,,
wise,形容詞,賢い、賢明な,3,,
become,自動詞,〜の状態になる,3,,
序数詞+最上級,熟語/慣用表現,〜番目に〜,3,,
